Class;Order;Family;Species;Trade type;Source
Bird;Anseriformes;Anatidae;Polysticta stelleri;Pet, Prod;IUCN
Bird;Anseriformes;Anatidae;Pteronetta hartlaubii;Pet, Prod;CITES, IUCN
Bird;Anseriformes;Anatidae;Radjah radjah;Pet, Prod;IUCN
Bird;Anseriformes;Anatidae;Rhodonessa caryophyllacea;Pet, Prod;CITES, IUCN
Bird;Anseriformes;Anatidae;Salvadorina waigiuensis;Prod;IUCN
Bird;Anseriformes;Anatidae;Sarkidiornis melanotos;Pet, Prod;CITES, IUCN
Bird;Anseriformes;Anatidae;Sarkidiornis sylvicola;Pet, Prod;IUCN
Bird;Anseriformes;Anatidae;Sibirionetta formosa;Pet, Prod;CITES, IUCN
Bird;Anseriformes;Anatidae;Somateria fischeri;Pet, Prod;IUCN
Bird;Anseriformes;Anatidae;Somateria mollissima;Pet, Prod;IUCN
Bird;Anseriformes;Anatidae;Somateria spectabilis;Pet, Prod;IUCN
Bird;Anseriformes;Anatidae;Spatula clypeata;Pet, Prod;CITES, IUCN
Bird;Anseriformes;Anatidae;Spatula cyanoptera;Pet;IUCN
Bird;Anseriformes;Anatidae;Spatula discors;Pet, Prod;IUCN
Bird;Anseriformes;Anatidae;Spatula hottentota;Pet, Prod;IUCN
Bird;Anseriformes;Anatidae;Spatula platalea;Pet, Prod;IUCN
Bird;Anseriformes;Anatidae;Spatula puna;Pet;IUCN
Bird;Anseriformes;Anatidae;Spatula querquedula;Pet, Prod;CITES, IUCN
Bird;Anseriformes;Anatidae;Spatula rhynchotis;Pet, Prod;IUCN
Bird;Anseriformes;Anatidae;Spatula smithii;Pet, Prod;IUCN
Bird;Anseriformes;Anatidae;Spatula versicolor;Pet, Prod;IUCN
Bird;Anseriformes;Anatidae;Speculanas specularis;Pet, Prod;IUCN
Bird;Anseriformes;Anatidae;Stictonetta naevosa;Pet, Prod;IUCN
Bird;Anseriformes;Anatidae;Tachyeres brachypterus;Pet;IUCN
Bird;Anseriformes;Anatidae;Tachyeres patachonicus;Prod;IUCN
Bird;Anseriformes;Anatidae;Tachyeres pteneres;Pet;IUCN
Bird;Anseriformes;Anatidae;Tadorna cana;Pet, Prod;IUCN
Bird;Anseriformes;Anatidae;Tadorna cristata;Pet, Prod;IUCN
Bird;Anseriformes;Anatidae;Tadorna ferruginea;Pet, Prod;IUCN
Bird;Anseriformes;Anatidae;Tadorna tadorna;Pet, Prod;IUCN
Bird;Anseriformes;Anatidae;Tadorna tadornoides;Pet, Prod;IUCN
Bird;Anseriformes;Anatidae;Tadorna variegata;Pet, Prod;IUCN
Bird;Anseriformes;Anatidae;Thalassornis leuconotus;Pet, Prod;IUCN
Bird;Anseriformes;Anhimidae;Anhima cornuta;Pet, Prod;IUCN
Bird;Anseriformes;Anhimidae;Chauna chavaria;Pet, Prod;IUCN
Bird;Anseriformes;Anhimidae;Chauna torquata;Pet, Prod;IUCN
Bird;Anseriformes;Anseranatidae;Anseranas semipalmata;Pet, Prod;IUCN
Bird;Apodiformes;Aegothelidae;Aegotheles cristatus;Pet;IUCN
Bird;Apodiformes;Apodidae;Aerodramus elaphrus;NA;IUCN
Bird;Apodiformes;Apodidae;Aerodramus fuciphagus;Prod;IUCN
Bird;Apodiformes;Apodidae;Aerodramus maximus;Prod;IUCN
Bird;Apodiformes;Apodidae;Aerodramus unicolor;Prod;IUCN
Bird;Apodiformes;Apodidae;Cypsiurus balasiensis;Prod;IUCN
Bird;Apodiformes;Apodidae;Tachymarptis melba;Prod;IUCN
Bird;Apodiformes;Hemiprocnidae;Hemiprocne longipennis;Prod;IUCN
Bird;Apodiformes;Hemiprocnidae;Hemiprocne mystacea;Prod;IUCN
Bird;Apodiformes;Trochilidae;Abeillia abeillei;Pet;CITES, IUCN
Bird;Apodiformes;Trochilidae;Adelomyia melanogenys;Pet;CITES, IUCN
Bird;Apodiformes;Trochilidae;Aglaeactis aliciae;NA;CITES
Bird;Apodiformes;Trochilidae;Aglaeactis castelnaudii;Pet, Prod;CITES, IUCN
Bird;Apodiformes;Trochilidae;Aglaeactis cupripennis;Pet, Prod;CITES, IUCN
Bird;Apodiformes;Trochilidae;Aglaeactis pamela;NA;CITES
Bird;Apodiformes;Trochilidae;Aglaiocercus coelestis;Pet, Prod;CITES, IUCN
Bird;Apodiformes;Trochilidae;Aglaiocercus kingii;Pet;CITES, IUCN
Bird;Apodiformes;Trochilidae;Amazilia amabilis;Pet, Prod;CITES, IUCN
Bird;Apodiformes;Trochilidae;Amazilia amazilia;Pet, Prod;CITES, IUCN
Bird;Apodiformes;Trochilidae;Amazilia beryllina;Pet, Prod;CITES, IUCN
Bird;Apodiformes;Trochilidae;Amazilia boucardi;Pet;CITES, IUCN
Bird;Apodiformes;Trochilidae;Amazilia brevirostris;Pet, Prod;CITES, IUCN
Bird;Apodiformes;Trochilidae;Amazilia candida;Pet;CITES, IUCN
Bird;Apodiformes;Trochilidae;Amazilia castaneiventris;Pet, Prod;CITES, IUCN
Bird;Apodiformes;Trochilidae;Amazilia chionogaster;Pet;CITES, IUCN
Bird;Apodiformes;Trochilidae;Amazilia cyanifrons;Pet;CITES, IUCN
Bird;Apodiformes;Trochilidae;Amazilia cyanocephala;Pet, Prod;CITES, IUCN
Bird;Apodiformes;Trochilidae;Amazilia cyanura;Pet, Prod;CITES, IUCN
Bird;Apodiformes;Trochilidae;Amazilia decora;Pet;IUCN
Bird;Apodiformes;Trochilidae;Amazilia edward;Pet, Prod;CITES, IUCN
Bird;Apodiformes;Trochilidae;Amazilia fimbriata;Pet, Prod;CITES, IUCN
Bird;Apodiformes;Trochilidae;Amazilia franciae;Pet;CITES, IUCN
Bird;Apodiformes;Trochilidae;Amazilia grayi;Pet;CITES, IUCN
Bird;Apodiformes;Trochilidae;Amazilia lactea;Pet;CITES, IUCN
Bird;Apodiformes;Trochilidae;Amazilia leucogaster;Pet;CITES, IUCN
Bird;Apodiformes;Trochilidae;Amazilia luciae;Pet;CITES, IUCN
Bird;Apodiformes;Trochilidae;Amazilia rosenbergi;Pet;CITES, IUCN
Bird;Apodiformes;Trochilidae;Amazilia rutila;Pet, Prod;CITES, IUCN
Bird;Apodiformes;Trochilidae;Amazilia sapphirina;Pet, Prod;CITES, IUCN
Bird;Apodiformes;Trochilidae;Amazilia saucerottei;Pet, Prod;CITES, IUCN
Bird;Apodiformes;Trochilidae;Amazilia tobaci;Pet, Prod;CITES, IUCN
Bird;Apodiformes;Trochilidae;Amazilia tzacatl;Pet, Prod;CITES, IUCN
Bird;Apodiformes;Trochilidae;Amazilia versicolor;Pet;CITES, IUCN
Bird;Apodiformes;Trochilidae;Amazilia violiceps;Pet;CITES, IUCN
Bird;Apodiformes;Trochilidae;Amazilia viridicauda;NA;CITES
Bird;Apodiformes;Trochilidae;Amazilia viridifrons;NA;CITES
Bird;Apodiformes;Trochilidae;Amazilia viridigaster;Pet;CITES, IUCN
Bird;Apodiformes;Trochilidae;Amazilia yucatanensis;Pet, Prod;CITES, IUCN
Bird;Apodiformes;Trochilidae;Androdon aequatorialis;NA;CITES
Bird;Apodiformes;Trochilidae;Anopetia gounellei;Pet;CITES, IUCN
Bird;Apodiformes;Trochilidae;Anthocephala floriceps;NA;CITES
Bird;Apodiformes;Trochilidae;Anthracothorax dominicus;Pet;CITES, IUCN
Bird;Apodiformes;Trochilidae;Anthracothorax mango;Pet, Prod;CITES, IUCN
Bird;Apodiformes;Trochilidae;Anthracothorax nigricollis;Pet, Prod;CITES, IUCN
Bird;Apodiformes;Trochilidae;Anthracothorax prevostii;Pet, Prod;CITES, IUCN
Bird;Apodiformes;Trochilidae;Anthracothorax veraguensis;Pet;CITES, IUCN
Bird;Apodiformes;Trochilidae;Anthracothorax viridigula;Pet, Prod;CITES, IUCN
Bird;Apodiformes;Trochilidae;Anthracothorax viridis;NA;CITES
Bird;Apodiformes;Trochilidae;Aphantochroa cirrochloris;Prod;CITES
Bird;Apodiformes;Trochilidae;Archilochus alexandri;Pet, Prod;CITES, IUCN
Bird;Apodiformes;Trochilidae;Archilochus colubris;Pet, Prod;CITES, IUCN
Bird;Apodiformes;Trochilidae;Atthis ellioti;Pet;CITES
Bird;Apodiformes;Trochilidae;Atthis heloisa;Prod;CITES
Bird;Apodiformes;Trochilidae;Augastes lumachella;NA;CITES
Bird;Apodiformes;Trochilidae;Augastes scutatus;Prod;CITES
Bird;Apodiformes;Trochilidae;Basilinna leucotis;Pet, Prod;CITES, IUCN
Bird;Apodiformes;Trochilidae;Basilinna xantusii;Pet;CITES, IUCN
Bird;Apodiformes;Trochilidae;Boissonneaua flavescens;Pet, Prod;CITES, IUCN
Bird;Apodiformes;Trochilidae;Boissonneaua jardini;Pet, Prod;CITES, IUCN
Bird;Apodiformes;Trochilidae;Boissonneaua matthewsii;Pet, Prod;CITES, IUCN
Bird;Apodiformes;Trochilidae;Calliphlox amethystina;Pet, Prod;CITES, IUCN
Bird;Apodiformes;Trochilidae;Calliphlox bryantae;NA;CITES
Bird;Apodiformes;Trochilidae;Calliphlox evelynae;NA;CITES
Bird;Apodiformes;Trochilidae;Calliphlox mitchellii;Prod;CITES
Bird;Apodiformes;Trochilidae;Calothorax lucifer;NA;CITES
Bird;Apodiformes;Trochilidae;Calothorax pulcher;Prod;CITES
Bird;Apodiformes;Trochilidae;Calypte anna;Pet;CITES, IUCN
Bird;Apodiformes;Trochilidae;Calypte costae;Pet;CITES, IUCN
Bird;Apodiformes;Trochilidae;Campylopterus curvipennis;Pet, Prod;CITES, IUCN
Bird;Apodiformes;Trochilidae;Campylopterus cuvierii;Pet;CITES, IUCN
Bird;Apodiformes;Trochilidae;Campylopterus duidae;NA;CITES
Bird;Apodiformes;Trochilidae;Campylopterus ensipennis;Pet, Prod;CITES, IUCN
Bird;Apodiformes;Trochilidae;Campylopterus falcatus;Pet, Prod;CITES, IUCN
Bird;Apodiformes;Trochilidae;Campylopterus hemileucurus;Pet, Prod;CITES, IUCN
Bird;Apodiformes;Trochilidae;Campylopterus hyperythrus;Pet, Prod;CITES, IUCN
Bird;Apodiformes;Trochilidae;Campylopterus largipennis;Pet, Prod;CITES, IUCN
Bird;Apodiformes;Trochilidae;Campylopterus phainopeplus;Pet, Prod;CITES, IUCN
Bird;Apodiformes;Trochilidae;Campylopterus rufus;Pet, Prod;CITES, IUCN
Bird;Apodiformes;Trochilidae;Campylopterus villaviscensio;Pet, Prod;CITES, IUCN
Bird;Apodiformes;Trochilidae;Chaetocercus astreans;NA;CITES
Bird;Apodiformes;Trochilidae;Chaetocercus berlepschi;Pet, Prod;CITES, IUCN
Bird;Apodiformes;Trochilidae;Chaetocercus bombus;Pet;CITES, IUCN
Bird;Apodiformes;Trochilidae;Chaetocercus heliodor;NA;CITES
Bird;Apodiformes;Trochilidae;Chaetocercus jourdanii;NA;CITES
Bird;Apodiformes;Trochilidae;Chaetocercus mulsant;Pet;CITES, IUCN
Bird;Apodiformes;Trochilidae;Chalcostigma herrani;Pet, Prod;CITES, IUCN
Bird;Apodiformes;Trochilidae;Chalcostigma heteropogon;Pet, Prod;CITES, IUCN
Bird;Apodiformes;Trochilidae;Chalcostigma olivaceum;Pet;CITES, IUCN
Bird;Apodiformes;Trochilidae;Chalcostigma ruficeps;Pet, Prod;CITES, IUCN
Bird;Apodiformes;Trochilidae;Chalcostigma stanleyi;Pet;CITES, IUCN
Bird;Apodiformes;Trochilidae;Chalybura buffonii;Pet, Prod;CITES, IUCN
Bird;Apodiformes;Trochilidae;Chalybura urochrysia;Pet, Prod;CITES, IUCN
Bird;Apodiformes;Trochilidae;Chlorostilbon assimilis;Pet;CITES
Bird;Apodiformes;Trochilidae;Chlorostilbon auriceps;NA;CITES
Bird;Apodiformes;Trochilidae;Chlorostilbon canivetii;Pet;CITES, IUCN
Bird;Apodiformes;Trochilidae;Chlorostilbon forficatus;NA;CITES
Bird;Apodiformes;Trochilidae;Chlorostilbon gibsoni;Pet;IUCN
Bird;Apodiformes;Trochilidae;Chlorostilbon lucidus;Pet, Prod;CITES, IUCN
Bird;Apodiformes;Trochilidae;Chlorostilbon maugaeus;NA;CITES
Bird;Apodiformes;Trochilidae;Chlorostilbon mellisugus;Prod;CITES
Bird;Apodiformes;Trochilidae;Chlorostilbon notatus;Pet, Prod;CITES, IUCN
Bird;Apodiformes;Trochilidae;Chlorostilbon olivaresi;NA;CITES
Bird;Apodiformes;Trochilidae;Chlorostilbon poortmani;Pet;CITES, IUCN
Bird;Apodiformes;Trochilidae;Chlorostilbon ricordii;Pet;CITES, IUCN
Bird;Apodiformes;Trochilidae;Chlorostilbon russatus;Pet, Prod;CITES, IUCN
Bird;Apodiformes;Trochilidae;Chlorostilbon stenurus;Pet;CITES, IUCN
Bird;Apodiformes;Trochilidae;Chlorostilbon swainsonii;Pet;CITES, IUCN
Bird;Apodiformes;Trochilidae;Chrysolampis mosquitus;Pet, Prod;CITES, IUCN
Bird;Apodiformes;Trochilidae;Chrysuronia oenone;Pet, Prod;CITES, IUCN
Bird;Apodiformes;Trochilidae;Clytolaema rubricauda;Pet;CITES, IUCN
Bird;Apodiformes;Trochilidae;Coeligena bonapartei;Pet, Prod;CITES, IUCN
Bird;Apodiformes;Trochilidae;Coeligena coeligena;Pet, Prod;CITES, IUCN
Bird;Apodiformes;Trochilidae;Coeligena helianthea;Pet, Prod;CITES, IUCN
Bird;Apodiformes;Trochilidae;Coeligena iris;Pet, Prod;CITES, IUCN
Bird;Apodiformes;Trochilidae;Coeligena lutetiae;Pet;CITES, IUCN
Bird;Apodiformes;Trochilidae;Coeligena phalerata;NA;CITES
Bird;Apodiformes;Trochilidae;Coeligena prunellei;Pet, Prod;CITES, IUCN
Bird;Apodiformes;Trochilidae;Coeligena torquata;Pet, Prod;CITES, IUCN
Bird;Apodiformes;Trochilidae;Coeligena violifer;Pet, Prod;CITES, IUCN
Bird;Apodiformes;Trochilidae;Coeligena wilsoni;Pet;CITES, IUCN
Bird;Apodiformes;Trochilidae;Colibri coruscans;Pet, Prod;CITES, IUCN
Bird;Apodiformes;Trochilidae;Colibri delphinae;Pet;CITES, IUCN
Bird;Apodiformes;Trochilidae;Colibri serrirostris;Prod;CITES
Bird;Apodiformes;Trochilidae;Colibri thalassinus;Pet, Prod;CITES, IUCN
Bird;Apodiformes;Trochilidae;Cyanophaia bicolor;NA;CITES
Bird;Apodiformes;Trochilidae;Cynanthus latirostris;Pet;CITES, IUCN
Bird;Apodiformes;Trochilidae;Cynanthus sordidus;Pet, Prod;CITES, IUCN
Bird;Apodiformes;Trochilidae;Discosura conversii;Pet;CITES, IUCN
Bird;Apodiformes;Trochilidae;Discosura langsdorffi;Pet, Prod;CITES, IUCN
Bird;Apodiformes;Trochilidae;Discosura letitiae;NA;CITES
Bird;Apodiformes;Trochilidae;Discosura longicaudus;Pet;CITES, IUCN
Bird;Apodiformes;Trochilidae;Discosura popelairii;Pet, Prod;CITES, IUCN
Bird;Apodiformes;Trochilidae;Doricha eliza;NA;CITES
Bird;Apodiformes;Trochilidae;Doricha enicura;NA;CITES
Bird;Apodiformes;Trochilidae;Doryfera johannae;Pet;CITES, IUCN
Bird;Apodiformes;Trochilidae;Doryfera ludovicae;Pet, Prod;CITES, IUCN
Bird;Apodiformes;Trochilidae;Elvira chionura;Pet;CITES, IUCN
Bird;Apodiformes;Trochilidae;Elvira cupreiceps;Prod;CITES
Bird;Apodiformes;Trochilidae;Ensifera ensifera;Pet, Prod;CITES, IUCN
Bird;Apodiformes;Trochilidae;Eriocnemis aline;Prod;CITES
Bird;Apodiformes;Trochilidae;Eriocnemis cupreoventris;Pet;CITES, IUCN
Bird;Apodiformes;Trochilidae;Eriocnemis derbyi;Pet, Prod;CITES, IUCN
Bird;Apodiformes;Trochilidae;Eriocnemis glaucopoides;Pet;CITES, IUCN
Bird;Apodiformes;Trochilidae;Eriocnemis godini;NA;CITES
Bird;Apodiformes;Trochilidae;Eriocnemis isabellae;NA;CITES
Bird;Apodiformes;Trochilidae;Eriocnemis luciani;Pet, Prod;CITES, IUCN
Bird;Apodiformes;Trochilidae;Eriocnemis mirabilis;NA;CITES
Bird;Apodiformes;Trochilidae;Eriocnemis mosquera;Pet, Prod;CITES, IUCN
Bird;Apodiformes;Trochilidae;Eriocnemis nigrivestis;Pet, Prod;CITES, IUCN
Bird;Apodiformes;Trochilidae;Eriocnemis vestita;Pet, Prod;CITES, IUCN
Bird;Apodiformes;Trochilidae;Eugenes fulgens;Pet, Prod;CITES, IUCN
Bird;Apodiformes;Trochilidae;Eulampis holosericeus;Pet, Prod;CITES, IUCN
Bird;Apodiformes;Trochilidae;Eulampis jugularis;Prod;CITES
Bird;Apodiformes;Trochilidae;Eulidia yarrellii;Pet;CITES, IUCN
Bird;Apodiformes;Trochilidae;Eupetomena macroura;Pet, Prod;CITES, IUCN
Bird;Apodiformes;Trochilidae;Eupherusa cyanophrys;Pet;CITES, IUCN
Bird;Apodiformes;Trochilidae;Eupherusa eximia;Pet;CITES, IUCN
Bird;Apodiformes;Trochilidae;Eupherusa nigriventris;NA;CITES
Bird;Apodiformes;Trochilidae;Eupherusa poliocerca;NA;CITES
Bird;Apodiformes;Trochilidae;Eutoxeres aquila;Pet, Prod;CITES, IUCN
Bird;Apodiformes;Trochilidae;Eutoxeres condamini;Pet;CITES, IUCN
Bird;Apodiformes;Trochilidae;Florisuga fusca;Pet, Prod;CITES, IUCN
Bird;Apodiformes;Trochilidae;Florisuga mellivora;Pet, Prod;CITES, IUCN
Bird;Apodiformes;Trochilidae;Glaucis aeneus;Pet, Prod;CITES, IUCN
Bird;Apodiformes;Trochilidae;Glaucis dohrnii;NA;CITES
Bird;Apodiformes;Trochilidae;Glaucis hirsutus;Pet, Prod;CITES, IUCN
Bird;Apodiformes;Trochilidae;Goethalsia bella;NA;CITES
Bird;Apodiformes;Trochilidae;Goldmania violiceps;Pet;CITES, IUCN
Bird;Apodiformes;Trochilidae;Haplophaedia assimilis;Prod;CITES
Bird;Apodiformes;Trochilidae;Haplophaedia aureliae;Pet, Prod;CITES, IUCN
Bird;Apodiformes;Trochilidae;Haplophaedia lugens;Pet, Prod;CITES, IUCN
Bird;Apodiformes;Trochilidae;Heliactin bilophus;Pet, Prod;CITES, IUCN
Bird;Apodiformes;Trochilidae;Heliangelus amethysticollis;Pet, Prod;CITES, IUCN
Bird;Apodiformes;Trochilidae;Heliangelus exortis;Pet;CITES, IUCN
Bird;Apodiformes;Trochilidae;Heliangelus mavors;NA;CITES
Bird;Apodiformes;Trochilidae;Heliangelus micraster;NA;CITES
Bird;Apodiformes;Trochilidae;Heliangelus regalis;Pet;CITES, IUCN
Bird;Apodiformes;Trochilidae;Heliangelus strophianus;Pet, Prod;CITES, IUCN
Bird;Apodiformes;Trochilidae;Heliangelus viola;Pet, Prod;CITES, IUCN
Bird;Apodiformes;Trochilidae;Heliodoxa aurescens;Pet;CITES, IUCN
Bird;Apodiformes;Trochilidae;Heliodoxa branickii;Pet;CITES, IUCN
Bird;Apodiformes;Trochilidae;Heliodoxa gularis;NA;CITES
Bird;Apodiformes;Trochilidae;Heliodoxa imperatrix;Pet;CITES, IUCN
Bird;Apodiformes;Trochilidae;Heliodoxa jacula;Pet, Prod;CITES, IUCN
Bird;Apodiformes;Trochilidae;Heliodoxa leadbeateri;Pet, Prod;CITES, IUCN
Bird;Apodiformes;Trochilidae;Heliodoxa rubinoides;Pet, Prod;CITES, IUCN
Bird;Apodiformes;Trochilidae;Heliodoxa schreibersii;Pet;CITES, IUCN
Bird;Apodiformes;Trochilidae;Heliodoxa xanthogonys;Pet, Prod;CITES, IUCN
Bird;Apodiformes;Trochilidae;Heliomaster constantii;Pet;CITES, IUCN
Bird;Apodiformes;Trochilidae;Heliomaster furcifer;Pet, Prod;CITES, IUCN
Bird;Apodiformes;Trochilidae;Heliomaster longirostris;Pet, Prod;CITES, IUCN
Bird;Apodiformes;Trochilidae;Heliomaster squamosus;Pet, Prod;CITES, IUCN
Bird;Apodiformes;Trochilidae;Heliothryx auritus;Pet, Prod;CITES, IUCN
Bird;Apodiformes;Trochilidae;Heliothryx barroti;Pet;CITES, IUCN
Bird;Apodiformes;Trochilidae;Hylocharis chrysura;Pet, Prod;CITES, IUCN
Bird;Apodiformes;Trochilidae;Hylocharis cyanus;Pet, Prod;CITES, IUCN
Bird;Apodiformes;Trochilidae;Hylocharis eliciae;Pet;CITES, IUCN
Bird;Apodiformes;Trochilidae;Hylonympha macrocerca;NA;CITES
Bird;Apodiformes;Trochilidae;Juliamyia julie;Pet;CITES, IUCN
Bird;Apodiformes;Trochilidae;Klais guimeti;Pet, Prod;CITES, IUCN
Bird;Apodiformes;Trochilidae;Lafresnaya lafresnayi;Pet, Prod;CITES, IUCN
Bird;Apodiformes;Trochilidae;Lampornis amethystinus;Pet;CITES, IUCN
Bird;Apodiformes;Trochilidae;Lampornis calolaemus;Pet;CITES, IUCN
Bird;Apodiformes;Trochilidae;Lampornis castaneoventris;Pet, Prod;CITES, IUCN
Bird;Apodiformes;Trochilidae;Lampornis clemenciae;Pet;CITES, IUCN
Bird;Apodiformes;Trochilidae;Lampornis hemileucus;Pet;CITES, IUCN
Bird;Apodiformes;Trochilidae;Lampornis sybillae;Prod;CITES
Bird;Apodiformes;Trochilidae;Lampornis viridipallens;Pet;CITES, IUCN
Bird;Apodiformes;Trochilidae;Lamprolaima rhami;Pet;CITES, IUCN
Bird;Apodiformes;Trochilidae;Lepidopyga coeruleogularis;Prod;CITES
Bird;Apodiformes;Trochilidae;Lepidopyga goudoti;Pet;CITES, IUCN
Bird;Apodiformes;Trochilidae;Lepidopyga lilliae;NA;CITES
Bird;Apodiformes;Trochilidae;Lesbia nuna;Pet;CITES, IUCN
Bird;Apodiformes;Trochilidae;Lesbia victoriae;Pet, Prod;CITES, IUCN
Bird;Apodiformes;Trochilidae;Leucippus baeri;Pet;CITES, IUCN
Bird;Apodiformes;Trochilidae;Leucippus chlorocercus;Pet;CITES, IUCN
Bird;Apodiformes;Trochilidae;Leucippus fallax;Pet, Prod;CITES, IUCN
Bird;Apodiformes;Trochilidae;Leucippus taczanowskii;Pet;CITES, IUCN
Bird;Apodiformes;Trochilidae;Leucochloris albicollis;Pet, Prod;CITES, IUCN
Bird;Apodiformes;Trochilidae;Loddigesia mirabilis;Prod;CITES, IUCN
Bird;Apodiformes;Trochilidae;Lophornis adorabilis;NA;CITES
Bird;Apodiformes;Trochilidae;Lophornis brachylophus;NA;CITES
Bird;Apodiformes;Trochilidae;Lophornis chalybeus;Prod;CITES
Bird;Apodiformes;Trochilidae;Lophornis delattrei;NA;CITES
Bird;Apodiformes;Trochilidae;Lophornis gouldii;Pet;CITES, IUCN
Bird;Apodiformes;Trochilidae;Lophornis helenae;Pet;CITES, IUCN
Bird;Apodiformes;Trochilidae;Lophornis magnificus;Pet, Prod;CITES, IUCN
Bird;Apodiformes;Trochilidae;Lophornis ornatus;Pet, Prod;CITES, IUCN
Bird;Apodiformes;Trochilidae;Lophornis pavoninus;Pet;CITES, IUCN
Bird;Apodiformes;Trochilidae;Lophornis stictolophus;NA;CITES
Bird;Apodiformes;Trochilidae;Mellisuga helenae;Prod;CITES
Bird;Apodiformes;Trochilidae;Mellisuga minima;Pet, Prod;CITES, IUCN
Bird;Apodiformes;Trochilidae;Metallura aeneocauda;Pet;CITES, IUCN
Bird;Apodiformes;Trochilidae;Metallura baroni;Pet;CITES, IUCN
Bird;Apodiformes;Trochilidae;Metallura eupogon;Pet;CITES, IUCN
Bird;Apodiformes;Trochilidae;Metallura iracunda;Pet;CITES, IUCN
Bird;Apodiformes;Trochilidae;Metallura odomae;Pet;CITES, IUCN
Bird;Apodiformes;Trochilidae;Metallura phoebe;Pet;CITES, IUCN
Bird;Apodiformes;Trochilidae;Metallura theresiae;Pet;CITES, IUCN
Bird;Apodiformes;Trochilidae;Metallura tyrianthina;Pet, Prod;CITES, IUCN
Bird;Apodiformes;Trochilidae;Metallura williami;Pet, Prod;CITES, IUCN
Bird;Apodiformes;Trochilidae;Microchera albocoronata;NA;CITES
Bird;Apodiformes;Trochilidae;Microstilbon burmeisteri;NA;CITES
Bird;Apodiformes;Trochilidae;Myrmia micrura;NA;CITES
Bird;Apodiformes;Trochilidae;Myrtis fanny;Pet;CITES, IUCN
Bird;Apodiformes;Trochilidae;Ocreatus underwoodii;Pet, Prod;CITES, IUCN
Bird;Apodiformes;Trochilidae;Opisthoprora euryptera;NA;CITES
Bird;Apodiformes;Trochilidae;Oreonympha nobilis;Pet;CITES, IUCN
Bird;Apodiformes;Trochilidae;Oreotrochilus adela;NA;CITES
Bird;Apodiformes;Trochilidae;Oreotrochilus chimborazo;Prod;CITES
Bird;Apodiformes;Trochilidae;Oreotrochilus estella;Pet, Prod;CITES, IUCN
Bird;Apodiformes;Trochilidae;Oreotrochilus leucopleurus;Pet;CITES, IUCN
Bird;Apodiformes;Trochilidae;Oreotrochilus melanogaster;Pet, Prod;CITES, IUCN
Bird;Apodiformes;Trochilidae;Orthorhyncus cristatus;Pet, Prod;CITES, IUCN
Bird;Apodiformes;Trochilidae;Oxypogon guerinii;NA;CITES
Bird;Apodiformes;Trochilidae;Panterpe insignis;NA;CITES
Bird;Apodiformes;Trochilidae;Patagona gigas;Pet, Prod;CITES, IUCN
Bird;Apodiformes;Trochilidae;Phaethornis anthophilus;NA;CITES
Bird;Apodiformes;Trochilidae;Phaethornis atrimentalis;NA;CITES
Bird;Apodiformes;Trochilidae;Phaethornis augusti;Pet;CITES, IUCN
Bird;Apodiformes;Trochilidae;Phaethornis bourcieri;Pet, Prod;CITES, IUCN
Bird;Apodiformes;Trochilidae;Phaethornis eurynome;NA;CITES
Bird;Apodiformes;Trochilidae;Phaethornis griseogularis;Pet;CITES, IUCN
Bird;Apodiformes;Trochilidae;Phaethornis guy;Pet, Prod;CITES, IUCN
Bird;Apodiformes;Trochilidae;Phaethornis hispidus;Pet;CITES, IUCN
Bird;Apodiformes;Trochilidae;Phaethornis idaliae;Pet;CITES
Bird;Apodiformes;Trochilidae;Phaethornis koepckeae;Pet;CITES, IUCN
Bird;Apodiformes;Trochilidae;Phaethornis longirostris;Prod;CITES
Bird;Apodiformes;Trochilidae;Phaethornis longuemareus;Pet, Prod;CITES
Bird;Apodiformes;Trochilidae;Phaethornis malaris;Pet, Prod;CITES, IUCN
Bird;Apodiformes;Trochilidae;Phaethornis nattereri;NA;CITES
Bird;Apodiformes;Trochilidae;Phaethornis philippii;NA;CITES
Bird;Apodiformes;Trochilidae;Phaethornis pretrei;Pet;CITES, IUCN
Bird;Apodiformes;Trochilidae;Phaethornis ruber;Pet, Prod;CITES, IUCN
Bird;Apodiformes;Trochilidae;Phaethornis rupurumii;NA;CITES
Bird;Apodiformes;Trochilidae;Phaethornis squalidus;NA;CITES
Bird;Apodiformes;Trochilidae;Phaethornis striigularis;NA;CITES
Bird;Apodiformes;Trochilidae;Phaethornis stuarti;Pet;CITES, IUCN
Bird;Apodiformes;Trochilidae;Phaethornis subochraceus;NA;CITES
Bird;Apodiformes;Trochilidae;Phaethornis superciliosus;Pet, Prod;CITES, IUCN
Bird;Apodiformes;Trochilidae;Phaethornis syrmatophorus;Pet;CITES, IUCN
Bird;Apodiformes;Trochilidae;Phaethornis yaruqui;Pet;CITES, IUCN
Bird;Apodiformes;Trochilidae;Phlogophilus harterti;NA;CITES
Bird;Apodiformes;Trochilidae;Phlogophilus hemileucurus;Pet;CITES, IUCN
Bird;Apodiformes;Trochilidae;Polyonymus caroli;Pet;CITES, IUCN
Bird;Apodiformes;Trochilidae;Polytmus guainumbi;Pet, Prod;CITES, IUCN
Bird;Apodiformes;Trochilidae;Polytmus milleri;Pet, Prod;CITES, IUCN
